,aracore_ids,aracore_name,aracore_annotations,symbol,chr,start,end,description,ncbigene,gene_name,uniprot_id
0,AT4G05180,AT4G05180,{},PSBQ2,4,2671523.0,2673243.0,"Oxygen-evolving enhancer protein 3-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q41932]",825866.0,"Oxygen-evolving enhancer protein 3-2, chloroplastic ",Q41932
1,AT2G30570,AT2G30570,{},PSBW,2,13019028.0,13020311.0,PSBW [Source:UniProtKB/TrEMBL;Acc:A0A178VQ32],817606.0,PSBW ,A0A178VQ32
2,ATCG00560,ATCG00560,{},PSBL,Pt,63804.0,63920.0,Photosystem II reaction center protein L [Source:UniProtKB/Swiss-Prot;Acc:P60129],844751.0,Photosystem II reaction center protein L ,P60129
3,AT4G21280,AT4G21280,{},PSBQ1,4,11334352.0,11335815.0,"Oxygen-evolving enhancer protein 3-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XFT3]",827877.0,"Oxygen-evolving enhancer protein 3-1, chloroplastic ",Q9XFT3
4,ATCG00300,ATCG00300,{},PSBZ,Pt,35751.0,35939.0,Photosystem II reaction center protein Z [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4U3],844774.0,Photosystem II reaction center protein Z ,A0A1B1W4U3
5,AT1G06680,AT1G06680,{},PSBP1,1,2047634.0,2049439.0,"Oxygen-evolving enhancer protein 2-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42029]",837178.0,"Oxygen-evolving enhancer protein 2-1, chloroplastic ",Q42029
6,ATCG00080,ATCG00080,{},PSBI,Pt,7583.0,7693.0,Photosystem II reaction center protein I [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4S2],844794.0,Photosystem II reaction center protein I ,A0A1B1W4S2
7,AT2G06520,AT2G06520,{},PSBX,2,2587729.0,2588448.0,PSBX [Source:UniProtKB/TrEMBL;Acc:A0A178W0Y5],815210.0,PSBX ,A0A178W0Y5
8,AT1G79040,AT1G79040,{},PSBR,1,29735952.0,29737009.0,"Photosystem II 10 kDa polypeptide, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P27202]",844245.0,"Photosystem II 10 kDa polypeptide, chloroplastic ",P27202
9,AT5G66570,AT5G66570,{},PSBO1,5,26568572.0,26570461.0,"Oxygen-evolving enhancer protein 1-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P23321]",836789.0,"Oxygen-evolving enhancer protein 1-1, chloroplastic ",P23321
10,AT3G21055,AT3G21055,{},PSBTN,3,7376432.0,7377226.0,Photosystem II subunit T [Source:UniProtKB/TrEMBL;Acc:A0A1I9LS90],821657.0,Photosystem II subunit T ,A0A1I9LS90
11,ATCG00020,ATCG00020,{},PSBA,Pt,383.0,1444.0,Photosystem II protein D1 [Source:UniProtKB/Swiss-Prot;Acc:P83755],844802.0,Photosystem II protein D1 ,P83755
12,ATCG00270,ATCG00270,{},PSBD,Pt,32711.0,33772.0,Photosystem II D2 protein [Source:UniProtKB/Swiss-Prot;Acc:P56761],844775.0,Photosystem II D2 protein ,P56761
13,ATCG00690,ATCG00690,{},PSBT,Pt,74082.0,74183.0,Photosystem II reaction center protein T [Source:UniProtKB/Swiss-Prot;Acc:P61839],844731.0,Photosystem II reaction center protein T ,P61839
14,ATCG00710,ATCG00710,{},PSBH,Pt,74485.0,74706.0,Photosystem II reaction center protein H [Source:UniProtKB/Swiss-Prot;Acc:P56780],844730.0,Photosystem II reaction center protein H ,P56780
15,ATCG00550,ATCG00550,{},PSBJ,Pt,63538.0,63660.0,Photosystem II reaction center protein J [Source:UniProtKB/Swiss-Prot;Acc:P56781],844749.0,Photosystem II reaction center protein J ,P56781
16,ATCG00570,ATCG00570,{},PSBF,Pt,63942.0,64061.0,Cytochrome b559 subunit beta [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4V6],844746.0,Cytochrome b559 subunit beta ,A0A1B1W4V6
17,AT1G67740,AT1G67740,{},PSBY,1,25394031.0,25395249.0,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:Q549N8],843099.0,Putative uncharacterized protein ,Q549N8
18,ATCG00580,ATCG00580,{},PSBE,Pt,64071.0,64322.0,Cytochrome b559 subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4W2],844745.0,Cytochrome b559 subunit alpha ,A0A1B1W4W2
19,AT3G50820,AT3G50820,{},PSBO2,3,18890874.0,18892508.0,"Oxygen-evolving enhancer protein 1-2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S841]",824246.0,"Oxygen-evolving enhancer protein 1-2, chloroplastic ",Q9S841
20,ATCG00680,ATCG00680,{},PSBB,Pt,72371.0,73897.0,Photosystem II CP47 reaction center protein [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4X0],844733.0,Photosystem II CP47 reaction center protein ,A0A1B1W4X0
21,ATCG00280,ATCG00280,{},PSBC,Pt,33720.0,35141.0,Photosystem II CP43 reaction center protein [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4T4],844773.0,Photosystem II CP43 reaction center protein ,A0A1B1W4T4
22,AT1G44575,AT1G44575,{},PSBS,1,16870221.0,16873427.0,"Photosystem II 22 kDa protein, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XF91]",841033.0,"Photosystem II 22 kDa protein, chloroplastic ",Q9XF91
23,ATCG00220,ATCG00220,{},PSBM,Pt,28707.0,28811.0,Photosystem II reaction center protein M [Source:UniProtKB/Swiss-Prot;Acc:P62109],844781.0,Photosystem II reaction center protein M ,P62109
24,ATCG00700,ATCG00700,{},PSBN,Pt,74249.0,74380.0,Protein PsbN [Source:UniProtKB/Swiss-Prot;Acc:P62113],844732.0,Protein PsbN ,P62113
25,ATCG00070,ATCG00070,{},PSBK,Pt,7017.0,7202.0,Photosystem II reaction center protein K [Source:UniProtKB/Swiss-Prot;Acc:P56782],844795.0,Photosystem II reaction center protein K ,P56782
26,ATCG00730,ATCG00730,{},PETD,Pt,76481.0,77672.0,Cytochrome b6-f complex subunit 4 [Source:UniProtKB/Swiss-Prot;Acc:P56774],844728.0,Cytochrome b6-f complex subunit 4 ,P56774
27,ATCG00600,ATCG00600,{},PETG,Pt,65998.0,66111.0,Cytochrome b6-f complex subunit 5 [Source:UniProtKB/Swiss-Prot;Acc:P56775],844743.0,Cytochrome b6-f complex subunit 5 ,P56775
28,ATCG00210,ATCG00210,{},PETN,Pt,28089.0,28178.0,Cytochrome b6-f complex subunit 8 [Source:UniProtKB/Swiss-Prot;Acc:P61039],844779.0,Cytochrome b6-f complex subunit 8 ,P61039
29,ATCG00590,ATCG00590,{},ORF31,Pt,65712.0,65807.0,Cytochrome b6-f complex subunit 6 [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4V9],844744.0,Cytochrome b6-f complex subunit 6 ,A0A1B1W4V9
30,AT2G26500,AT2G26500,{},,2.0,11270082.0,11271074.0,At2g26500/T9J22.17 [Source:UniProtKB/TrEMBL;Acc:O48717],817191.0,At2g26500/T9J22.17 ,O48717
31,AT4G03280,AT4G03280,{},PETC,4,1440146.0,1441863.0,"Cytochrome b6-f complex iron-sulfur subunit, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9ZR03]",827996.0,"Cytochrome b6-f complex iron-sulfur subunit, chloroplastic ",Q9ZR03
32,ATCG00720,ATCG00720,{},PETB,Pt,74841.0,76292.0,Cytochrome b6 [Source:UniProtKB/Swiss-Prot;Acc:P56773],844729.0,Cytochrome b6 ,P56773
33,ATCG00540,ATCG00540,{},PETA,Pt,61657.0,62619.0,Cytochrome f [Source:UniProtKB/Swiss-Prot;Acc:P56771],844748.0,Cytochrome f ,P56771
34,AT2G05620,AT2G05620,{},PGR5,2,2080647.0,2081859.0,"Protein PROTON GRADIENT REGULATION 5, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SL05]",815111.0,"Protein PROTON GRADIENT REGULATION 5, chloroplastic ",Q9SL05
35,AT4G22890,AT4G22890,{},PGRL1A,4,12006986.0,12009536.0,PGR5-LIKE A [Source:UniProtKB/TrEMBL;Acc:A0A178UU76],828388.0,PGR5-LIKE A ,A0A178UU76
36,AT4G11960,AT4G11960,{},PGRL1B,4,7174886.0,7177888.0,"PGR5-like protein 1B, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8GYC7]",826803.0,"PGR5-like protein 1B, chloroplastic ",Q8GYC7
37,AT5G58260,AT5G58260,{},ndhN,5,23560568.0,23562001.0,NdhN [Source:UniProtKB/TrEMBL;Acc:A0A178UG88],835938.0,NdhN ,A0A178UG88
38,ATCG01090,ATCG01090,{},NDHI,Pt,119244.0,119762.0,"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P56755]",844806.0,"NAD(P)H-quinone oxidoreductase subunit I, chloroplastic ",P56755
39,AT1G14150,AT1G14150,{},PNSL2,1,4839801.0,4840823.0,"Photosynthetic NDH subunit of lumenal location 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9XI73]",837974.0,"Photosynthetic NDH subunit of lumenal location 2, chloroplastic ",Q9XI73
40,ATCG00440,ATCG00440,{},NDHC,Pt,50001.0,50363.0,"NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic [Source:UniProtKB/TrEMBL;Acc:A0A1B1W4V1]",844762.0,"NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic ",A0A1B1W4V1
